StaffId,StaffJobId,FestivalId,Name,Surname,DateOfBirth,ContactPhone,IsCertified
40,3,116,Colin,McComish,1979-02-07,491-727-7059,false
41,4,51,Lindsay,Joul,1978-04-24,321-162-7877,false
42,2,141,Alysa,Ferriere,1935-10-07,796-267-3618,true
43,2,613,Aylmer,Maplethorpe,1929-09-04,323-740-9463,true
44,3,881,Dom,Radbone,1995-03-17,961-952-9465,true
45,2,534,Siusan,Coners,1916-01-13,824-324-1355,false
46,3,649,Tabbi,Butterley,1980-12-26,331-867-8012,true
47,4,664,Merna,Fortin,1959-01-11,477-992-4900,true
48,4,898,Kurt,Yarrall,1964-01-04,796-844-7226,false
49,3,684,Ringo,Teall,1979-01-21,276-343-1876,true
50,2,439,Rebeca,Vashchenko,2002-03-22,677-191-3881,true
51,4,528,Cynthie,Bucknell,1964-08-26,559-524-0372,false
52,2,656,Mic,Tointon,1991-11-16,582-721-4192,true
53,4,13,Rafaello,Winpenny,1977-02-23,870-112-9860,true
54,2,186,Muhammad,Iacovino,1958-12-19,838-768-0310,true
55,3,926,Cordy,Ivanchenkov,1966-09-05,789-151-3300,false
56,4,877,Ian,Heustice,1986-07-31,773-937-2448,false
57,4,803,Ayn,Scammell,1973-07-26,951-536-7359,false
58,2,542,Kimbell,Ubsdell,1925-02-13,256-258-9446,true
59,1,786,Helsa,Tomik,1962-01-07,566-659-8024,true
60,1,233,Talia,Epperson,1966-08-27,547-302-7813,true
61,2,405,Laney,Heal,1945-03-21,395-616-4078,true
62,2,329,Ulrike,Osburn,1967-03-27,560-171-9388,true
63,2,921,Cooper,Gratland,1909-10-18,310-327-8786,false
64,2,648,Keefer,MacAndrew,2000-03-19,623-246-8695,true
65,1,320,Florri,Kirkebye,1942-09-07,102-941-7560,false
66,1,292,Zebulen,Eyrl,1979-08-06,874-162-3178,false
67,4,666,Eleonora,O'Calleran,1925-09-09,293-118-8843,true
68,1,406,Dannye,Elcoat,1993-03-11,302-790-4880,true
69,2,427,Arlin,Chaters,1954-10-11,726-870-0395,false
70,4,140,Micah,Laming,1985-11-01,387-803-4015,true
71,3,980,Guglielma,Dwelley,1942-05-25,401-240-9924,true
72,4,640,Edouard,Prandoni,1963-05-24,563-616-6644,false
73,1,156,Andrej,Sparkwill,1965-05-03,338-313-2121,true
74,3,763,Kenny,Tregido,2001-05-03,482-500-4453,false
75,2,951,Colly,Varey,1994-12-02,472-107-7666,false
76,1,156,Rickard,Killshaw,1934-02-03,121-817-5835,false
77,2,357,Durward,Longmire,1955-09-08,459-614-0471,false
78,3,446,Franny,Lambertz,1986-12-02,742-192-0366,true
79,1,922,Matthias,Dikle,1959-05-02,229-576-0467,false
80,2,416,Shepard,Sommersett,1917-11-05,484-214-5835,false
81,1,39,Starlin,Finnemore,1994-10-25,161-531-0183,false
82,3,71,Batsheva,Roth,1992-01-11,613-927-7011,true
83,2,534,Emile,Mawditt,1929-07-24,359-814-1293,true
84,4,829,Buiron,Bielfeld,1972-01-14,596-150-7929,false
85,2,277,Starr,Keymar,1949-10-20,104-922-5560,false
86,3,240,Shawnee,Hancill,1922-02-28,538-459-5276,false
87,2,746,Orel,Abelov,1952-09-25,369-540-3675,true
88,2,332,Darrell,Minister,1934-02-05,766-977-1799,true
89,3,235,Maribeth,Soltan,1999-03-09,110-744-4804,true
90,1,125,Dael,Barde,2001-04-08,982-125-7413,false
91,4,442,Nani,Litel,2003-12-26,855-544-6393,false
92,2,54,Robby,Moisey,1992-04-26,180-464-3303,true
93,2,429,Ber,Tilt,1981-02-02,583-199-3749,true
94,3,316,Susann,Valenta,1913-10-17,416-835-0815,false
95,1,195,Chrysa,Braddock,1979-02-10,976-568-5175,true
96,2,382,Rayner,Bech,1960-09-04,343-909-0523,false
97,3,177,Hildegarde,Paylor,1994-02-06,842-515-4979,true
98,2,365,Selle,Huby,1984-02-08,249-422-5236,true
99,4,21,Wesley,Littlewood,1940-09-02,264-521-7180,true
100,2,961,Greer,Tieman,1951-07-20,851-171-0624,true
101,2,253,Trumaine,Moulton,1977-04-16,263-369-7933,true
102,3,309,Salvador,Mintoft,1999-01-25,118-968-9912,true
103,2,818,Beaufort,Ogle,1948-03-08,665-156-2021,false
104,3,437,Lacy,Mewes,1992-06-09,471-310-3723,false
105,4,234,Jan,Chason,1945-06-14,996-435-9142,true
106,3,681,Mahmoud,Treece,1952-08-02,548-833-6570,false
107,3,737,Sharity,Jozsika,1926-05-09,290-964-3613,false
108,2,761,Betta,Ledekker,1962-05-26,634-276-4300,false
109,4,495,Hanny,Deppen,1928-11-27,706-244-8514,false
110,3,215,Jermayne,Troke,1908-09-10,285-644-5040,false
111,1,690,Teena,Ghioni,2004-06-11,330-753-4204,false
112,1,186,Avictor,Czaple,1972-10-10,227-773-2432,true
113,2,693,Elisha,Cunniam,1944-08-20,267-216-0268,true
114,1,357,Erinn,Becke,1954-11-05,444-582-4354,true
115,3,843,Dayle,Bolderson,1986-06-18,137-861-0705,true
116,1,105,Kelcy,Maggiore,1901-06-04,320-979-9664,true
117,3,513,Cully,Hardington,1946-06-28,375-734-6755,false
118,4,77,Jed,Solway,1998-07-13,399-922-1340,true
119,1,581,Max,Byron,1910-02-01,275-281-6060,true
120,4,933,Lexis,Guyon,1983-12-23,269-309-1109,false
121,3,370,Manfred,Berndsen,1996-05-25,606-550-8701,false
122,1,8,Eberto,Hirsthouse,1966-07-24,548-680-9078,false
123,4,312,Hersch,Deadman,1960-05-26,502-627-8232,false
124,1,499,Gregg,Jursch,1956-04-24,383-198-8536,true
125,1,821,Saxe,Gaw,1913-10-17,960-967-7841,true
126,2,764,Antonella,Hiland,1989-01-26,329-694-1959,true
127,3,77,Trever,Spreadbury,1915-09-05,231-382-7100,true
128,1,675,Cheri,Gadney,1906-11-27,601-326-7297,true
129,4,213,Jared,Regorz,1902-06-17,124-349-5928,true
130,3,956,Trudey,Musslewhite,1922-06-01,244-743-3518,false
131,3,378,Angel,Fortnam,1931-10-18,301-576-4343,false
132,1,561,Casey,Lansberry,1994-09-29,406-132-1223,false
133,1,759,Alf,Inglish,1922-08-09,861-849-1831,false
134,3,810,Duke,Gatheral,1952-05-08,671-362-1414,true
135,3,349,Pedro,Lansberry,1938-11-17,515-146-8864,true
136,3,755,Joelle,Thor,1919-06-01,326-633-8774,true
137,3,550,Nefen,Swallow,1919-09-30,429-129-2494,false
138,4,625,Glendon,Shickle,2003-04-16,696-736-9073,false
139,4,49,Carolyn,Saenz,1953-06-04,879-264-0096,false
140,4,498,Warde,Tilbury,1984-08-20,219-472-6580,true
141,3,664,Stormie,Troni,1927-09-27,816-784-0429,true
142,3,949,Ad,Falconer-Taylor,1997-04-19,751-995-7020,false
143,4,195,Marcelo,Vigars,1934-11-08,809-269-8833,true
144,4,254,Torrie,Dacey,1975-09-08,615-690-3143,true
145,2,192,Binny,Lademann,1950-06-29,432-407-3326,false
146,4,171,Bartlett,Pratley,1926-01-29,899-388-3378,true
147,4,401,Wilma,Strangman,1938-01-22,445-199-2398,true
148,1,782,Valeria,Willarton,1924-03-01,727-546-0165,false
149,3,515,Andy,Bucknall,1990-04-14,774-289-2365,false
150,2,986,Gerard,Thurgood,1989-04-12,908-390-0926,true
151,1,986,Sheff,Rude,1975-01-18,302-607-6710,false
152,1,385,Hillyer,Muffitt,1900-11-26,689-165-4306,false
153,2,464,Lew,Jorat,1979-05-24,549-606-0862,true
154,3,412,Breanne,Newlands,1910-07-27,603-823-0557,false
155,3,239,Keelia,Conrath,1988-11-29,905-546-8121,false
156,1,66,Kliment,Akred,1989-09-29,748-492-1899,true
157,1,293,Kearney,Foss,1950-05-14,193-164-0798,true
158,4,705,Ty,McNickle,1987-04-15,788-525-9510,true
159,1,174,Mordecai,Potteridge,1913-11-29,209-924-3249,true
160,2,815,Shani,Pinckstone,1935-01-12,590-265-7751,true
161,3,160,Rakel,Kidby,1973-06-30,898-943-0703,false
162,4,516,Justinian,Izat,1974-08-28,472-806-6383,false
163,2,356,Aldous,Rudinger,1913-11-26,703-750-6859,true
164,4,230,Bud,Doe,1940-08-03,262-559-1289,false
165,1,52,Michael,Roskilly,1925-01-24,665-940-9216,false
166,2,833,Kory,Le Pruvost,1981-10-28,998-668-6916,false
167,4,906,Fredric,Dalrymple,1979-05-23,971-718-7790,true
168,4,182,Loella,Lafford,1990-12-14,630-986-0388,false
169,4,437,Adham,LLelweln,1952-11-21,138-816-7540,false
170,2,321,Sven,Messitt,1955-10-22,666-156-5142,true
171,3,548,Yvette,Eallis,1995-03-12,898-327-3796,false
172,3,77,Jany,Berthouloume,1967-11-27,818-887-4674,true
173,2,437,Atlanta,Hullbrook,1982-10-28,213-515-6817,false
174,4,799,Lindsey,Webbe,1941-10-14,779-804-4137,false
175,1,976,Muffin,Lealle,1925-11-04,422-925-7073,true
176,4,820,Pat,Killeley,1935-05-04,193-225-8881,false
177,2,421,Deirdre,Hourigan,1927-08-06,244-485-1133,false
178,2,908,Phaedra,Clapton,1905-09-08,229-809-5177,false
179,1,67,Anderea,Orvis,2002-07-13,781-927-9251,true
180,3,212,Vinni,Batts,2001-06-03,808-134-6865,true
181,2,65,Benedicto,Bartholomaus,1989-12-28,994-934-6603,true
182,1,557,Shawn,Brownsmith,1917-03-07,803-767-9759,true
183,3,137,Corabel,Gowthorpe,1913-12-29,695-599-7221,false
184,2,845,Kristy,Jacobbe,1915-02-01,818-905-5072,false
185,1,108,Mitzi,Duffield,1914-08-21,696-225-6332,false
186,4,932,Jodie,Brehaut,1958-10-04,965-348-4639,true
187,4,3,Pepe,Dungey,1955-10-13,104-491-2732,true
188,4,470,Simeon,Reuss,1968-12-02,544-304-3456,false
189,1,451,Travers,Rubertelli,1970-07-30,967-912-2276,true
190,1,833,Bartel,Brigshaw,1947-01-31,705-725-4215,true
191,4,883,Tine,Rickardsson,1928-04-13,795-493-6926,true
192,1,304,Giffard,Jeafferson,1902-03-03,963-783-6559,false
193,1,846,Dore,Vakhrushin,1956-11-24,990-609-1724,true
194,4,846,Robenia,Odney,1978-06-14,676-165-9779,true
195,4,11,Elia,Macy,1963-05-25,221-450-7492,true
196,1,680,Hendrika,Vakhlov,1950-11-01,276-617-2328,false
197,2,626,Lucienne,Eassom,1909-03-28,719-212-5477,true
198,1,967,Herculie,McGahern,1930-09-23,721-794-2188,true
199,1,343,Kincaid,Likly,1919-05-05,895-445-4692,false
200,3,245,Dasha,Cowpe,1964-03-31,965-404-7356,false
201,3,618,Quint,Brandenberg,1946-08-03,953-960-5012,true
202,3,3,Gustavus,Zupone,1967-08-12,456-247-9572,true
203,3,275,Sonni,Mash,1990-09-30,543-506-5886,false
204,4,736,Dinnie,Pagon,1935-05-25,322-668-7272,false
205,4,253,Vonny,McCambridge,2002-01-15,900-470-6484,true
206,1,470,Lindsy,Newcom,1909-01-05,192-819-7529,true
207,4,524,Patrice,Freschi,1955-08-30,801-568-5253,true
208,2,443,Neille,Andreu,1923-12-08,433-646-4895,false
209,4,593,Dorice,Andre,1973-04-18,364-204-5362,false
210,3,13,Erina,Guerrazzi,2004-04-25,314-243-5284,false
211,3,384,Carr,Lanigan,1914-03-24,755-671-6357,true
212,4,498,Fremont,Geleman,1984-05-05,882-552-1916,false
213,2,530,Dion,Mallinar,1984-09-05,600-844-4372,false
214,3,834,Lari,Baldassi,1918-10-22,325-511-4380,true
215,1,785,Dag,Merryweather,1972-10-12,953-768-8197,false
216,4,774,Norrie,Sabate,1993-03-14,730-882-6932,true
217,3,72,Dewitt,Giacomasso,1948-10-22,164-596-4483,false
218,2,452,Alphard,Ruselin,1921-09-26,767-491-0928,false
219,1,241,Jorie,Eliasen,1925-10-23,763-707-7367,true
220,1,751,Hillel,Cubberley,1944-12-07,307-461-1109,true
221,2,909,Rebecka,Juster,1951-11-03,270-368-1973,true
222,4,314,Vassili,Luberti,1932-08-27,935-106-8726,true
223,1,472,Bab,Jossum,1948-08-04,574-490-0370,true
224,1,150,Fredi,Mc Caughen,1901-06-18,920-591-3803,true
225,4,619,Marielle,Chishull,1960-12-10,238-494-3861,true
226,1,410,Marven,Antusch,1972-12-25,982-422-4296,true
227,4,707,Tad,Steinham,1905-05-12,168-601-1970,false
228,3,457,Jonathan,Schurcke,1937-02-04,950-766-3529,false
229,4,326,Skye,Shimony,1997-04-10,789-236-9155,false
230,1,86,Nan,Tomasian,2004-11-09,699-861-9527,false
231,4,690,Brunhilda,Lerego,1985-09-02,570-146-3066,true
232,2,232,Washington,Barnewille,1942-05-03,576-439-4328,false
233,1,176,Law,Attoe,1957-06-15,763-385-2281,false
234,3,460,Fan,Blissett,1913-05-25,835-600-1782,true
235,3,532,Chicky,Mulcahy,1932-12-10,126-944-0107,false
236,1,748,Rona,Knappen,1904-04-02,750-934-9282,true
237,4,337,Marla,Siccombe,1960-03-24,233-888-6655,false
238,4,759,Shaylyn,Lideard,1989-07-09,534-350-6642,true
239,1,606,Marianne,Englefield,1998-06-24,288-858-7934,false
240,3,930,Uri,Cristofolo,1973-04-30,772-613-6219,true
241,3,47,Denna,Garaghan,1965-12-30,936-399-1655,true
242,2,517,Lane,O'Duggan,1979-11-18,938-751-9532,false
243,3,629,Vida,Hallworth,1966-04-25,418-701-6739,true
244,1,20,Giana,Petrelluzzi,1925-07-04,171-373-2468,false
245,1,623,Alyce,Langstaff,1913-02-18,580-361-3953,true
246,2,899,Nelia,Dilliston,1960-09-06,448-344-8525,false
247,2,338,Annie,Abramamovh,1954-07-02,355-872-0037,true
248,2,187,Wally,Howlings,1915-11-29,328-541-9061,false
249,2,511,Drucie,Snozzwell,1994-03-29,324-268-8208,true
250,2,953,Cornie,Folliss,1967-03-23,662-652-5241,true
251,3,802,Lyndsey,Lyokhin,1952-01-04,828-767-4301,true
252,2,810,Ivar,Chellingworth,1954-01-11,693-739-5114,true
253,4,847,Alfredo,Bolderoe,1965-04-01,732-793-5425,true
254,4,505,Honor,Majury,1993-10-01,314-648-6855,true
255,2,856,Fonzie,Danels,1914-07-01,516-931-8664,true
256,2,625,Stacee,Rock,1929-03-31,735-539-7619,false
257,1,459,Jermain,Christophers,1983-03-08,260-484-0647,true
258,4,11,Karim,Salle,1939-08-29,523-818-5629,true
259,2,680,Ryley,Kettlestring,1957-05-24,765-992-6438,false
260,4,949,Birgit,Feldbrin,1994-02-26,379-568-3017,false
261,1,351,Jessie,Everit,1922-04-24,699-505-2852,false
262,4,342,Karolina,Augustine,1984-09-18,694-767-8210,false
263,1,991,Allan,Wabersinke,1972-10-25,925-583-3016,true
264,4,800,Dilly,Bernardeau,1903-02-08,756-907-1926,false
265,3,125,Elfrieda,Crossthwaite,1943-09-01,757-831-6832,true
266,2,14,Dilan,Diamond,1975-08-24,956-296-0444,false
267,1,279,Nicolea,Girke,1992-02-28,195-498-7656,true
268,2,876,Gerrard,Peracco,1946-06-11,908-219-0021,true
269,3,140,Carver,Klammt,1913-12-12,863-374-3466,true
270,4,637,Elsy,De Witt,1961-06-18,930-846-2615,false
271,4,322,Freida,Tregidgo,1950-08-13,942-648-7147,false
272,2,300,Milty,Whapple,1950-04-30,919-385-7706,true
273,1,467,Lewie,Kolyagin,1907-05-07,840-185-9239,true
274,3,12,Beniamino,Danby,1913-10-08,632-127-2386,true
275,4,778,Tyrus,Denis,1937-03-15,414-863-3308,true
276,3,533,Rania,Stendell,2000-11-19,603-123-2279,false
277,2,354,Carl,Curds,1904-11-27,203-927-5386,true
278,4,779,Kyla,Scroggie,1923-09-17,591-817-6941,true
279,4,10,Jethro,Biesterfeld,1979-06-08,494-931-4617,false
280,3,712,Nickolaus,Tardiff,1957-04-09,118-334-2470,false
281,4,457,Konstantin,McSperrin,1939-01-07,748-390-9707,false
282,1,223,Marni,Farrent,1962-05-24,702-671-8276,true
283,3,686,Jessalyn,Hatchette,1930-05-03,898-397-4240,false
284,4,365,Nelia,Mungin,1970-02-16,274-545-4623,true
285,1,862,Glenn,Skill,1984-12-01,572-949-8536,false
286,1,185,Stormi,Goodrich,1938-04-13,574-412-9072,true
287,4,631,Emalia,Belfit,1999-03-08,870-785-9391,false
288,3,285,Thea,Matthesius,1921-05-11,856-400-3067,true
289,1,790,Lorrie,Degan,1975-04-26,362-336-5470,false
290,3,857,Simeon,Ernke,1981-02-02,453-646-4038,true
291,3,295,Wain,Lowten,1914-10-31,217-121-4616,false
292,4,638,Kirby,Foli,1954-04-06,592-402-6760,false
293,2,112,Frasco,Landells,1932-11-30,486-504-4236,true
294,4,441,Ailee,Maro,1946-01-16,838-179-8896,false
295,1,537,Blane,Platt,1950-09-07,950-443-7226,true
296,2,838,Ingemar,Swadden,1988-12-16,848-440-8488,true
297,2,157,Ginevra,Korda,1940-11-04,129-309-0908,false
298,3,586,Rodolph,Leyzell,1902-11-23,732-705-4013,true
299,4,914,Randene,Dunkerton,1959-09-05,571-438-1189,true
300,4,559,Meredith,Pimer,1996-02-08,738-569-9889,false
301,4,494,Jania,Insley,1957-03-20,894-244-7874,false
302,1,93,Sunshine,Dumphy,1952-04-16,225-841-9042,false
303,2,612,Lea,Ramlot,1910-08-19,813-107-6358,false
304,2,434,Dita,Newiss,1931-11-26,656-123-5700,true
305,4,491,Shandee,Stieger,1941-11-24,452-932-7528,false
306,1,181,Jordan,Marvel,1960-11-24,382-485-1701,true
307,2,588,Pattie,Cunnington,1902-05-26,282-211-5874,false
308,1,549,Sharon,Lukehurst,1951-08-29,846-351-2020,false
309,2,158,Gloria,Haggerstone,1937-10-05,780-690-1205,false
310,3,706,Tedmund,Francklyn,1989-03-21,646-479-4912,false
311,2,292,Oona,Chalcraft,1952-04-01,313-944-3042,false
312,2,276,Jed,Roxburch,1946-03-24,405-955-0648,true
313,2,612,Meggy,Algie,1969-09-04,793-620-2966,false
314,2,517,Mayne,Robertazzi,1930-04-03,256-184-6614,true
315,1,219,Carlie,McLelland,1910-12-12,708-556-6133,true
316,4,767,Nathanil,Jakubovsky,1905-12-03,982-924-9557,true
317,1,57,Siobhan,Santore,1979-03-17,904-477-9376,false
318,4,55,Trescha,Melland,1946-11-27,563-657-9183,true
319,3,654,Saree,Wadesworth,1995-07-29,815-220-8964,true
320,1,785,Fonsie,Choke,2004-03-06,591-789-0592,false
321,2,972,Damaris,Sommersett,1927-06-13,176-147-6048,true
322,3,473,Euell,Landy,1977-04-26,148-189-5640,true
323,4,177,Lee,Seydlitz,1905-03-08,300-686-8018,false
324,4,141,Shadow,McKevitt,1989-01-26,701-575-7672,false
325,1,58,Yuma,Klimek,1923-12-18,810-894-9554,false
326,1,596,Libbie,Posnette,1941-04-01,844-905-7166,true
327,1,39,Magdalen,Skewis,1942-12-03,708-113-4727,false
328,4,650,Sadella,Faust,1972-11-06,931-133-8661,true
329,3,240,Candi,Youel,1910-11-14,910-520-8405,true
330,4,208,Lionel,Sproson,1983-10-15,942-976-9549,false
331,2,472,Lorant,Gieraths,1911-11-13,952-696-1207,false
332,1,973,Sheree,Slowley,1916-11-06,443-888-0439,false
333,3,888,Patty,Bosenworth,1902-02-20,673-814-5342,true
334,2,796,Torey,McCrory,1969-08-18,215-150-1574,true
335,3,123,Dannie,Coldridge,1988-11-10,455-657-2814,false
336,4,352,Nikolos,Stollenbeck,1914-10-15,712-547-6169,true
337,3,106,Coralie,Haile,1908-06-17,828-452-0349,true
338,2,678,Constanta,Lemme,1906-03-27,134-758-3296,true
339,4,220,Adi,Orniz,1964-10-25,246-312-9594,false
340,2,328,Floris,Filson,1973-09-03,599-134-9764,false
341,4,191,Elsworth,Smorfit,1908-08-13,210-518-7328,true
342,4,644,Sileas,Haffner,1917-04-28,292-200-6125,false
343,1,274,Ugo,Roomes,1935-04-27,343-501-1243,true
344,1,737,Verne,Heinert,1926-01-09,368-287-0344,true
345,3,830,Dominga,Roggero,1984-03-30,401-993-2550,false
346,3,273,Elston,Barsam,1903-08-12,821-621-3704,false
347,1,602,Joela,Dobrovolny,1981-07-20,945-422-9494,false
348,4,682,Bertram,Offord,1980-04-15,786-431-5389,false
349,4,938,Gabrielle,Woodger,1964-05-20,401-354-3665,true
350,3,304,Leyla,Beautyman,1942-02-06,354-972-3628,true
351,2,92,Annamarie,Look,1940-06-04,863-876-1739,true
352,2,602,Charlena,Jeromson,1989-01-19,943-474-6516,true
353,4,682,Jeremie,Blaby,1952-03-24,871-398-2702,false
354,4,577,Seana,Airton,1986-11-14,885-982-8092,false
355,2,822,Kinnie,Jachimak,1932-09-08,497-849-6654,false
356,3,852,Nels,Sherman,1901-08-06,911-315-0980,true
357,2,143,Adrian,Ohrtmann,1957-03-08,548-504-8688,false
358,2,72,Winnie,Mollett,1918-02-22,425-535-3151,false
359,3,914,Leighton,Parbrook,1963-12-15,631-898-1077,false
360,1,748,Thornie,Virr,1966-11-17,188-554-4024,true
361,2,703,Pierette,Manion,1997-10-01,334-123-4056,true
362,1,198,Nerte,Clavering,1974-04-12,930-477-7167,true
363,3,269,Leona,McCafferky,1913-12-07,358-833-2048,true
364,1,635,Raynor,Cathee,1901-03-30,228-182-3149,true
365,3,413,Madalyn,Rignoldes,1933-04-05,379-634-5040,true
366,1,285,Keefer,Westney,1980-04-03,927-400-3890,false
367,1,527,Sigismondo,Matuszak,1975-02-01,865-884-2029,false
368,1,214,Kylie,Beccles,1954-03-06,734-119-5310,false
369,2,451,Cathryn,Pantin,1904-02-17,654-846-7061,true
370,1,491,Deena,Kock,1932-06-06,279-595-1929,true
371,2,172,Kassia,McKnockiter,1918-01-12,724-122-7788,false
372,2,302,Kiel,Cliburn,1999-01-08,434-814-2689,true
373,3,381,Estrellita,Volante,1903-12-04,560-144-1205,true
374,1,220,Brandyn,Klehyn,1912-09-12,256-734-9412,false
375,2,29,Kirby,Hessing,1965-07-17,714-617-6800,false
376,1,723,Leona,Kroll,1921-05-24,914-176-7314,false
377,4,257,Gunter,Barde,1961-03-22,834-566-6569,false
378,3,451,Morris,Clinkard,1953-04-16,982-675-7443,false
379,3,949,Claude,Note,1957-09-03,836-123-3167,true
380,4,566,Keefer,Rate,1967-01-26,908-435-0114,false
381,4,481,Iver,Menary,1988-10-09,357-754-6138,false
382,4,100,Judah,Brandino,1935-06-09,322-716-9568,true
383,3,578,Alma,Hiddsley,1941-02-23,946-900-4133,true
384,1,933,Bill,Manshaw,1912-07-24,415-946-5149,false
385,2,201,Kissiah,Tall,1993-10-01,826-734-3661,true
386,2,601,Maurice,O'Bradane,1966-11-12,449-997-8654,false
387,3,60,Norina,Greensted,1946-01-07,277-743-2934,true
388,3,625,Laurette,Ivantsov,1920-06-07,278-867-9860,true
389,4,157,Ferdy,Bour,1970-05-08,236-971-1521,false
390,4,572,Meghann,Jedrzejewsky,1939-12-26,784-336-8422,true
391,2,469,Caleb,Byas,1910-05-10,368-610-9052,false
392,4,305,Carmelia,Domeney,1925-04-22,320-490-4282,false
393,4,394,Jerad,Hulbert,1960-09-30,248-753-7432,false
394,3,824,Elnar,Braidley,1966-05-23,773-617-0959,false
395,1,374,Arlyne,Rossi,1943-12-01,195-220-0607,true
396,2,575,Roselle,Gavozzi,1902-07-25,223-182-2267,true
397,2,364,Neill,Thornborrow,2000-05-19,379-827-6169,false
398,4,616,Josefa,Ridesdale,1963-09-24,421-489-0518,false
399,2,590,Trev,Milberry,1945-08-03,433-959-5660,false
400,4,111,Wainwright,Dey,1906-05-25,117-356-9074,true
401,1,771,Sibyl,Magovern,1979-07-20,301-416-7857,true
402,2,753,Rodrique,Rubens,1921-08-31,872-513-7801,false
403,1,179,Katee,Keepence,1925-09-23,782-599-9266,false
404,3,157,Xena,Bogue,1940-01-01,735-382-4313,true
405,4,679,Jock,Meader,1955-04-15,800-364-9518,false
406,4,821,Samuel,Squier,1941-03-18,364-372-5605,false
407,3,325,Tanya,Malthouse,1940-02-02,237-729-0941,false
408,2,442,Corena,Tweedlie,1953-06-29,453-122-0720,true
409,1,88,Cobb,Luby,1902-01-22,235-751-9248,true
410,1,346,Giustina,Fitzhenry,1988-10-17,857-909-0755,true
411,2,187,Hermie,McCloughlin,1922-10-22,881-158-4827,true
412,3,291,Ax,Brimner,1988-11-14,215-768-8799,false
413,4,510,Malchy,Mourge,1983-12-15,670-281-2033,false
414,4,525,Camille,Dillingham,1927-03-16,593-410-9224,false
415,2,429,Loren,Kryszka,1910-11-05,251-873-0961,false
416,4,517,Keir,Carradice,1941-09-21,205-321-9894,true
417,1,856,Erie,Chapellow,1978-06-28,386-560-5155,false
418,2,611,Hurley,Eckels,1929-03-14,718-731-1177,false
419,4,930,Renate,Dayborne,1906-05-03,619-959-1117,false
420,2,284,Antoni,Lopez,1971-01-31,557-416-1705,false
421,1,627,Godfree,Dyche,1917-02-24,744-544-2002,false
422,3,641,Wynn,Monkton,1976-09-06,455-625-6773,false
423,1,49,Neel,Bruffell,1921-04-27,263-460-0420,false
424,3,707,Jay,Cariss,1944-09-04,727-133-1134,true
425,1,630,Jacky,Ludy,1979-09-08,369-402-1117,true
426,3,42,Emmett,Olrenshaw,1940-07-11,581-859-1695,false
427,2,930,Roxy,Brymner,1930-06-07,639-187-3983,false
428,2,990,Elle,Mayo,1917-07-18,572-749-5361,true
429,3,569,Aliza,Mallard,1900-02-26,284-562-1389,true
